deal_id,date,year,deal_type,acquirer_or_investors,target_or_company,value_usd_bn,description,is_megadeal,is_real_headline
D0065,03-01-2011,2011,IPO,Public markets,Yotzeo IO,0.177,IPO 2011,0,0
D0068,26-01-2011,2011,Series_B,Polaris Partners,Lumrep Therapeutics,0.14,Series_B 2011,0,0
D0101,19-02-2011,2011,VC,OrbiMed,Kymimm BIO,0.534,VC 2011,0,0
D0073,01-03-2011,2011,Series_B,a16z Bio,Synaer Tx,0.037,Series_B 2011,0,0
D0096,04-03-2011,2011,VC,Bain Capital Life Sciences,Epikym BIO,0.158,VC 2011,0,0
D0078,07-03-2011,2011,Series_B,F-Prime Capital,Immaer OS,0.163,Series_B 2011,0,0
D0085,07-03-2011,2011,Series_B,a16z Bio,Quozeo Therapeutics,0.629,Series_B 2011,0,0
D0063,08-03-2011,2011,VC,GV (Google Ventures),Unikym IO,0.849,VC 2011,0,0
D0084,10-03-2011,2011,M&A,Sanofi,Immrep Therapeutics,19.866,M&A 2011,1,0
D0107,12-03-2011,2011,IPO,Public markets,Celkym X,0.068,IPO 2011,0,0
D0092,23-03-2011,2011,VC,RA Capital,Unisyn BIO,0.191,VC 2011,0,0
D0070,16-04-2011,2011,Series_B,a16z Bio,Oncxen IO,0.407,Series_B 2011,0,0
D0103,16-04-2011,2011,Series_C,Versant Ventures,Aerpro AB,0.21,Series_C 2011,0,0
D0106,21-04-2011,2011,VC,ARCH Venture Partners,Repvec Therapeutics,0.161,VC 2011,0,0
D0104,22-04-2011,2011,VC,RA Capital,Neuzeo X,0.267,VC 2011,0,0
D0083,27-05-2011,2011,VC,OrbiMed,Tavlum X,0.202,VC 2011,0,0
D0099,01-06-2011,2011,IPO,Public markets,Onczeo OS,0.428,IPO 2011,0,0
D0105,07-06-2011,2011,Series_C,RA Capital,Vecepi AB,0.222,Series_C 2011,0,0
D0088,10-06-2011,2011,Series_B,ARCH Venture Partners,Gengen BIO,0.064,Series_B 2011,0,0
D0077,17-06-2011,2011,Crossover,F-Prime Capital,Modrep X,0.263,Crossover 2011,0,0
D0079,24-06-2011,2011,Series_B,Flagship Pioneering,Lumyot BIO,0.113,Series_B 2011,0,0
D0100,10-07-2011,2011,IPO,Public markets,Oncmod OS,0.993,IPO 2011,0,0
D0097,11-07-2011,2011,IPO,Public markets,Jaszeo IO,0.066,IPO 2011,0,0
D0064,18-07-2011,2011,Series_B,OrbiMed,Oncneu Therapeutics,0.085,Series_B 2011,0,0
D0090,20-07-2011,2011,Series_B,OrbiMed,Repgen OS,0.128,Series_B 2011,0,0
D0071,21-07-2011,2011,IPO,Public markets,Modimm GX,0.778,IPO 2011,0,0
D0095,23-07-2011,2011,VC,Bain Capital Life Sciences,Neujas AB,0.478,VC 2011,0,0
D0093,24-07-2011,2011,Series_B,a16z Bio,Zeosyn Therapeutics,0.183,Series_B 2011,0,0
D0081,08-09-2011,2011,VC,Bain Capital Life Sciences,Denzeo Tx,0.048,VC 2011,0,0
D0072,25-09-2011,2011,Series_B,Sofinnova Investments,Oncrep GX,0.012,Series_B 2011,0,0
D0098,07-10-2011,2011,Series_B,Third Rock Ventures,Biorep BIO,0.055,Series_B 2011,0,0
D0066,10-10-2011,2011,Series_B,Flagship Pioneering,Vecjas ON,0.173,Series_B 2011,0,0
D0094,12-10-2011,2011,VC,OrbiMed,Vecmod Therapeutics,0.251,VC 2011,0,0
D0069,19-10-2011,2011,M&A,AbbVie,Immepi BIO,0.8,M&A 2011,0,0
D0076,26-10-2011,2011,Series_C,Flagship Pioneering,Proxen AB,0.424,Series_C 2011,0,0
D0089,11-11-2011,2011,M&A,Novartis,Neuxen BIO,0.08,M&A 2011,0,0
D0091,13-11-2011,2011,M&A,BMS,Xentav AB,18.096,M&A 2011,1,0
D0082,18-11-2011,2011,Series_B,Flagship Pioneering,Aeronc Tx,0.134,Series_B 2011,0,0
D0075,23-11-2011,2011,M&A,Gilead,Genkym AB,0.078,M&A 2011,0,0
D0080,09-12-2011,2011,M&A,Amgen,Denuni AB,1.186,M&A 2011,0,0
D0086,11-12-2011,2011,Series_C,Third Rock Ventures,Protav BIO,0.449,Series_C 2011,0,0
D0087,20-12-2011,2011,IPO,Public markets,Unipro OS,0.379,IPO 2011,0,0
D0074,23-12-2011,2011,Series_C,Polaris Partners,Zeoxen GX,0.213,Series_C 2011,0,0
D0067,27-12-2011,2011,M&A,Novartis,Onconc AB,0.571,M&A 2011,0,0
D0121,03-01-2012,2012,Series_B,RA Capital,Uniimm ON,0.049,Series_B 2012,0,0
D0155,03-01-2012,2012,M&A,J&J,Bioyot RX,0.504,M&A 2012,0,0
D0108,15-01-2012,2012,VC,Sofinnova Investments,Immhap Tx,0.061,VC 2012,0,0
D0133,16-01-2012,2012,VC,F-Prime Capital,Immpro RX,0.279,VC 2012,0,0
D0151,17-01-2012,2012,VC,F-Prime Capital,Biolum ON,0.106,VC 2012,0,0
D0130,21-01-2012,2012,Series_B,OrbiMed,Uniyot RX,0.005,Series_B 2012,0,0
D0136,22-01-2012,2012,IPO,Public markets,Lumzeo GX,0.227,IPO 2012,0,0
D0150,09-02-2012,2012,VC,Bain Capital Life Sciences,Epilum OS,0.486,VC 2012,0,0
D0118,18-02-2012,2012,M&A,AstraZeneca,Genonc BIO,1.457,M&A 2012,0,0
D0157,26-02-2012,2012,Crossover,ARCH Venture Partners,Lumhap GX,0.311,Crossover 2012,0,0
D0141,05-03-2012,2012,Series_B,Bain Capital Life Sciences,Denkym GX,0.119,Series_B 2012,0,0
D0147,07-03-2012,2012,IPO,Public markets,Unilum X,0.233,IPO 2012,0,0
D0120,09-03-2012,2012,M&A,Sanofi,Xenmod IO,0.628,M&A 2012,0,0
D0144,10-03-2012,2012,VC,RA Capital,Yottav RX,0.214,VC 2012,0,0
D0131,11-03-2012,2012,VC,F-Prime Capital,Modlum GX,0.254,VC 2012,0,0
D0135,27-03-2012,2012,VC,GV (Google Ventures),Uniyot Tx,0.233,VC 2012,0,0
D0146,27-03-2012,2012,IPO,Public markets,Repaer RX,1.585,IPO 2012,0,0
D0129,07-04-2012,2012,Crossover,Sofinnova Investments,Prozeo BIO,0.1,Crossover 2012,0,0
D0137,17-04-2012,2012,VC,Polaris Partners,Repyot RX,0.079,VC 2012,0,0
D0148,17-04-2012,2012,Series_B,Third Rock Ventures,Neuepi GX,0.672,Series_B 2012,0,0
D0142,03-05-2012,2012,VC,Polaris Partners,Xenmod IO,0.037,VC 2012,0,0
D0152,12-05-2012,2012,Series_B,Bain Capital Life Sciences,Lumcel RX,0.492,Series_B 2012,0,0
D0113,14-05-2012,2012,VC,a16z Bio,Unikym GX,0.103,VC 2012,0,0
D0154,17-05-2012,2012,Series_C,a16z Bio,Biovec OS,0.395,Series_C 2012,0,0
D0143,17-05-2012,2012,Series_C,a16z Bio,Xenmod ON,0.085,Series_C 2012,0,0
D0145,17-05-2012,2012,VC,RA Capital,Moduni OS,0.057,VC 2012,0,0
D0116,22-05-2012,2012,Series_B,F-Prime Capital,Lumsyn Therapeutics,0.519,Series_B 2012,0,0
D0111,24-05-2012,2012,Crossover,Versant Ventures,Oncepi BIO,0.652,Crossover 2012,0,0
D0109,04-06-2012,2012,IPO,Public markets,Hapimm RX,0.202,IPO 2012,0,0
D0110,26-06-2012,2012,VC,OrbiMed,Xenkym OS,0.026,VC 2012,0,0
D0115,08-07-2012,2012,IPO,Public markets,Yotbio Therapeutics,0.176,IPO 2012,0,0
D0127,27-07-2012,2012,VC,ARCH Venture Partners,Immimm GX,0.067,VC 2012,0,0
D0134,03-08-2012,2012,VC,Polaris Partners,Celsyn X,0.082,VC 2012,0,0
D0112,13-08-2012,2012,M&A,Pfizer,Hapvec BIO,0.032,M&A 2012,0,0
D0125,16-08-2012,2012,Series_C,Versant Ventures,Epicel Tx,0.121,Series_C 2012,0,0
D0153,09-09-2012,2012,IPO,Public markets,Lumjas Therapeutics,0.446,IPO 2012,0,0
D0126,04-10-2012,2012,VC,Bain Capital Life Sciences,Genuni RX,0.026,VC 2012,0,0
D0119,07-10-2012,2012,VC,F-Prime Capital,Onconc Therapeutics,1.117,VC 2012,0,0
D0156,15-10-2012,2012,Crossover,ARCH Venture Partners,Jaslum RX,0.138,Crossover 2012,0,0
D0128,04-11-2012,2012,Series_B,Third Rock Ventures,Jaslum GX,0.166,Series_B 2012,0,0
D0124,07-11-2012,2012,VC,F-Prime Capital,Denyot OS,0.036,VC 2012,0,0
D0123,09-11-2012,2012,Series_B,a16z Bio,Lumxen GX,0.196,Series_B 2012,0,0
D0140,19-11-2012,2012,VC,Third Rock Ventures,Lumyot IO,0.119,VC 2012,0,0
D0114,23-11-2012,2012,VC,F-Prime Capital,Quobio Tx,0.083,VC 2012,0,0
D0117,04-12-2012,2012,M&A,Sanofi,Neurep Tx,50,M&A 2012,1,0
D0122,15-12-2012,2012,VC,Flagship Pioneering,Unisyn Therapeutics,0.277,VC 2012,0,0
D0132,18-12-2012,2012,M&A,AbbVie,Jasbio OS,1.243,M&A 2012,0,0
D0149,19-12-2012,2012,Series_C,Bain Capital Life Sciences,Modsyn RX,0.179,Series_C 2012,0,0
D0139,22-12-2012,2012,Series_C,Flagship Pioneering,Kymxen BIO,0.041,Series_C 2012,0,0
D0138,23-12-2012,2012,Series_B,Flagship Pioneering,Neurep Therapeutics,0.127,Series_B 2012,0,0
D0179,14-01-2013,2013,VC,ARCH Venture Partners,Biouni GX,0.094,VC 2013,0,0
D0204,18-01-2013,2013,VC,Versant Ventures,Neupro BIO,0.207,VC 2013,0,0
D0199,27-01-2013,2013,VC,Flagship Pioneering,Genden IO,0.011,VC 2013,0,0
D0210,06-02-2013,2013,Series_B,Flagship Pioneering,Synrep IO,0.179,Series_B 2013,0,0
D0200,07-02-2013,2013,M&A,BMS,Celzeo OS,16.822,M&A 2013,1,0
D0198,15-02-2013,2013,Series_B,ARCH Venture Partners,Hapzeo Therapeutics,0.12,Series_B 2013,0,0
D0178,18-02-2013,2013,VC,Flagship Pioneering,Genimm Therapeutics,0.036,VC 2013,0,0
D0172,21-02-2013,2013,VC,GV (Google Ventures),Hapgen Therapeutics,0.577,VC 2013,0,0
D0168,27-02-2013,2013,Series_C,Versant Ventures,Quokym IO,1.079,Series_C 2013,0,0
D0169,05-03-2013,2013,M&A,Amgen,Genyot Therapeutics,0.908,M&A 2013,0,0
D0191,08-03-2013,2013,M&A,Merck,Yotxen ON,3.058,M&A 2013,0,0
D0182,11-03-2013,2013,VC,F-Prime Capital,Zeotav X,0.293,VC 2013,0,0
D0209,17-03-2013,2013,M&A,AstraZeneca,Synxen Therapeutics,0.126,M&A 2013,0,0
D0170,22-03-2013,2013,VC,Polaris Partners,Yotjas BIO,0.376,VC 2013,0,0
D0176,04-04-2013,2013,M&A,Novartis,Vecquo BIO,23.031,M&A 2013,1,0
D0189,09-04-2013,2013,VC,Atlas Venture,Biozeo GX,0.225,VC 2013,0,0
D0195,21-04-2013,2013,IPO,Public markets,Bioonc RX,0.209,IPO 2013,0,0
D0208,02-05-2013,2013,VC,Versant Ventures,Kymneu ON,0.031,VC 2013,0,0
D0202,09-06-2013,2013,Series_B,OrbiMed,Quoden IO,0.097,Series_B 2013,0,0
D0180,13-06-2013,2013,VC,F-Prime Capital,Tavtav BIO,0.075,VC 2013,0,0
D0160,23-06-2013,2013,M&A,Novartis,Biomod Therapeutics,0.879,M&A 2013,0,0
D0197,14-07-2013,2013,Series_C,a16z Bio,Tavlum BIO,0.035,Series_C 2013,0,0
D0212,18-07-2013,2013,Series_B,ARCH Venture Partners,Immlum Tx,0.112,Series_B 2013,0,0
D0194,20-07-2013,2013,VC,RA Capital,Lumaer Tx,0.245,VC 2013,0,0
D0161,22-07-2013,2013,Series_B,Polaris Partners,Zeobio AB,0.032,Series_B 2013,0,0
D0185,26-07-2013,2013,IPO,Public markets,Epipro Tx,0.303,IPO 2013,0,0
D0173,04-08-2013,2013,VC,ARCH Venture Partners,Vecjas RX,0.024,VC 2013,0,0
D0211,06-08-2013,2013,VC,Third Rock Ventures,Unixen ON,0.063,VC 2013,0,0
D0188,08-08-2013,2013,VC,Versant Ventures,Immpro Tx,0.464,VC 2013,0,0
D0192,09-08-2013,2013,Crossover,OrbiMed,Unitav BIO,0.066,Crossover 2013,0,0
D0190,17-08-2013,2013,Series_C,Bain Capital Life Sciences,Quoden ON,0.347,Series_C 2013,0,0
D0163,19-08-2013,2013,IPO,Public markets,Proxen RX,0.486,IPO 2013,0,0
D0162,21-08-2013,2013,IPO,Public markets,Neuvec X,0.113,IPO 2013,0,0
D0159,25-08-2013,2013,Series_C,OrbiMed,Genepi GX,1.615,Series_C 2013,0,0
D0177,27-08-2013,2013,VC,Third Rock Ventures,Yotquo IO,0.202,VC 2013,0,0
D0167,02-09-2013,2013,VC,OrbiMed,Yottav Therapeutics,0.445,VC 2013,0,0
D0181,06-09-2013,2013,VC,Sofinnova Investments,Jasrep IO,0.137,VC 2013,0,0
D0165,08-09-2013,2013,VC,ARCH Venture Partners,Jassyn OS,0.149,VC 2013,0,0
D0171,14-09-2013,2013,Series_C,F-Prime Capital,Zeotav Tx,0.1,Series_C 2013,0,0
D0183,14-09-2013,2013,Series_C,Sofinnova Investments,Lumquo OS,0.096,Series_C 2013,0,0
D0174,17-09-2013,2013,M&A,BMS,Uniuni X,0.226,M&A 2013,0,0
D0186,18-09-2013,2013,VC,F-Prime Capital,Vecyot AB,0.138,VC 2013,0,0
D0196,19-09-2013,2013,VC,Polaris Partners,Denquo AB,0.035,VC 2013,0,0
D0206,23-09-2013,2013,VC,Polaris Partners,Synsyn Therapeutics,0.085,VC 2013,0,0
D0203,26-09-2013,2013,Crossover,Atlas Venture,Xenhap ON,0.11,Crossover 2013,0,0
D0164,27-09-2013,2013,Series_B,Flagship Pioneering,Tavepi IO,0.146,Series_B 2013,0,0
D0158,01-10-2013,2013,Series_C,Sofinnova Investments,Quoxen Tx,0.22,Series_C 2013,0,0
D0207,01-10-2013,2013,VC,Bain Capital Life Sciences,Haplum Tx,0.098,VC 2013,0,0
D0193,07-10-2013,2013,M&A,Gilead,Denbio Therapeutics,1.756,M&A 2013,0,0
D0175,12-11-2013,2013,M&A,Merck,Oncgen RX,0.071,M&A 2013,0,0
D0201,21-11-2013,2013,VC,Polaris Partners,Quomod BIO,0.297,VC 2013,0,0
D0187,01-12-2013,2013,M&A,Gilead,Zeoonc ON,1.284,M&A 2013,0,0
D0184,06-12-2013,2013,IPO,Public markets,Gengen ON,0.461,IPO 2013,0,0
D0166,07-12-2013,2013,VC,Sofinnova Investments,Repkym OS,0.142,VC 2013,0,0
D0205,20-12-2013,2013,Series_C,Flagship Pioneering,Yotzeo Tx,0.061,Series_C 2013,0,0
D0216,04-01-2014,2014,Crossover,Atlas Venture,Jasuni OS,0.33,Crossover 2014,0,0
D0252,17-01-2014,2014,VC,ARCH Venture Partners,Biokym X,0.075,VC 2014,0,0
D0218,18-01-2014,2014,VC,RA Capital,Yotcel X,0.512,VC 2014,0,0
D0245,19-01-2014,2014,VC,Third Rock Ventures,Proimm BIO,0.059,VC 2014,0,0
D0258,16-02-2014,2014,VC,Polaris Partners,Genimm BIO,0.063,VC 2014,0,0
D0272,17-02-2014,2014,VC,Sofinnova Investments,Vecbio BIO,0.115,VC 2014,0,0
D0230,21-02-2014,2014,M&A,J&J,Tavyot X,50,M&A 2014,1,0
D0243,22-02-2014,2014,Series_C,Polaris Partners,Kymquo RX,0.403,Series_C 2014,0,0
D0270,01-03-2014,2014,Series_B,ARCH Venture Partners,Tavuni GX,0.055,Series_B 2014,0,0
D0219,03-03-2014,2014,VC,Polaris Partners,Immmod GX,0.322,VC 2014,0,0
D0257,09-03-2014,2014,VC,Third Rock Ventures,Oncden BIO,0.215,VC 2014,0,0
D0226,17-03-2014,2014,VC,a16z Bio,Lumneu RX,0.428,VC 2014,0,0
D0214,25-03-2014,2014,VC,OrbiMed,Xenzeo RX,0.026,VC 2014,0,0
D0238,25-03-2014,2014,VC,F-Prime Capital,Synepi BIO,0.215,VC 2014,0,0
D0261,01-04-2014,2014,Series_B,ARCH Venture Partners,Celtav BIO,0.086,Series_B 2014,0,0
D0239,20-04-2014,2014,Series_B,Atlas Venture,Aerimm BIO,0.106,Series_B 2014,0,0
D0222,11-05-2014,2014,VC,Sofinnova Investments,Celtav ON,0.073,VC 2014,0,0
D0229,15-05-2014,2014,VC,Sofinnova Investments,Xenpro X,0.03,VC 2014,0,0
D0215,17-05-2014,2014,VC,F-Prime Capital,Provec X,0.299,VC 2014,0,0
D0262,19-05-2014,2014,M&A,Sanofi,Veconc IO,8.241,M&A 2014,0,0
D0266,21-05-2014,2014,Series_B,Third Rock Ventures,Aerlum Tx,0.951,Series_B 2014,0,0
D0264,24-05-2014,2014,VC,Sofinnova Investments,Aerimm RX,0.051,VC 2014,0,0
D0002,26-05-2014,2014,M&A,Bayer,Merck Consumer Care,14.2,Consumer health acquisition,1,1
D0247,08-06-2014,2014,Series_C,Flagship Pioneering,Celkym IO,0.123,Series_C 2014,0,0
D0231,10-06-2014,2014,VC,GV (Google Ventures),Tavsyn ON,0.11,VC 2014,0,0
D0253,12-06-2014,2014,VC,Third Rock Ventures,Aercel ON,0.307,VC 2014,0,0
D0249,16-06-2014,2014,VC,Atlas Venture,Modjas BIO,0.096,VC 2014,0,0
D0271,18-06-2014,2014,VC,Polaris Partners,Quouni IO,0.038,VC 2014,0,0
D0237,25-06-2014,2014,M&A,AstraZeneca,Jasgen RX,2.936,M&A 2014,0,0
D0259,16-07-2014,2014,Series_C,Bain Capital Life Sciences,Genlum X,0.292,Series_C 2014,0,0
D0217,18-07-2014,2014,IPO,Public markets,Epineu ON,0.487,IPO 2014,0,0
D0225,19-07-2014,2014,Series_B,Bain Capital Life Sciences,Celaer RX,0.079,Series_B 2014,0,0
D0248,21-07-2014,2014,Series_C,Flagship Pioneering,Jasuni X,0.173,Series_C 2014,0,0
D0268,01-08-2014,2014,VC,Flagship Pioneering,Genkym Tx,0.099,VC 2014,0,0
D0255,03-08-2014,2014,Series_B,GV (Google Ventures),Lumvec RX,0.088,Series_B 2014,0,0
D0269,13-08-2014,2014,IPO,Public markets,Epikym X,0.275,IPO 2014,0,0
D0221,16-08-2014,2014,Series_B,Sofinnova Investments,Modsyn IO,0.545,Series_B 2014,0,0
D0267,19-08-2014,2014,IPO,Public markets,Hapjas IO,2.176,IPO 2014,0,0
D0241,19-08-2014,2014,Series_B,Versant Ventures,Celkym IO,0.055,Series_B 2014,0,0
D0228,20-08-2014,2014,M&A,Pfizer,Xenaer BIO,0.13,M&A 2014,0,0
D0256,21-08-2014,2014,VC,Versant Ventures,Quomod RX,0.038,VC 2014,0,0
D0265,23-08-2014,2014,IPO,Public markets,Xenjas Tx,0.54,IPO 2014,0,0
D0260,08-09-2014,2014,IPO,Public markets,Yotrep BIO,0.162,IPO 2014,0,0
D0232,08-09-2014,2014,Series_B,Atlas Venture,Tavjas GX,0.124,Series_B 2014,0,0
D0227,27-09-2014,2014,M&A,Roche,Repepi ON,12.267,M&A 2014,1,0
D0254,06-10-2014,2014,IPO,Public markets,Lumden Tx,1.388,IPO 2014,0,0
D0224,09-10-2014,2014,VC,GV (Google Ventures),Yotmod ON,0.626,VC 2014,0,0
D0233,12-10-2014,2014,M&A,BMS,Immonc RX,0.897,M&A 2014,0,0
D0244,14-10-2014,2014,VC,Bain Capital Life Sciences,Projas X,0.405,VC 2014,0,0
D0251,16-10-2014,2014,Series_C,Polaris Partners,Xenpro AB,0.23,Series_C 2014,0,0
D0250,23-10-2014,2014,VC,a16z Bio,Xenxen IO,0.563,VC 2014,0,0
D0240,27-10-2014,2014,Series_B,ARCH Venture Partners,Veconc Tx,0.13,Series_B 2014,0,0
D0242,01-11-2014,2014,IPO,Public markets,Xenbio BIO,0.197,IPO 2014,0,0
D0223,13-11-2014,2014,VC,Sofinnova Investments,Immepi Tx,0.322,VC 2014,0,0
D0246,14-11-2014,2014,VC,OrbiMed,Aeruni Therapeutics,0.071,VC 2014,0,0
D0235,17-11-2014,2014,VC,Flagship Pioneering,Quoxen AB,0.587,VC 2014,0,0
D0003,17-11-2014,2014,M&A,Actavis,Allergan,70.5,Generics consolidation,1,1
D0213,18-11-2014,2014,Series_B,Polaris Partners,Syngen ON,0.202,Series_B 2014,0,0
D0220,09-12-2014,2014,M&A,Merck,Zeoden Tx,0.467,M&A 2014,0,0
D0236,14-12-2014,2014,VC,F-Prime Capital,Oncaer X,0.116,VC 2014,0,0
D0234,23-12-2014,2014,VC,F-Prime Capital,Lumyot Tx,0.047,VC 2014,0,0
D0263,27-12-2014,2014,VC,Polaris Partners,Vecxen IO,0.069,VC 2014,0,0
D0317,09-01-2015,2015,VC,Flagship Pioneering,Denuni ON,0.128,VC 2015,0,0
D0339,12-01-2015,2015,VC,OrbiMed,Dencel Therapeutics,0.185,VC 2015,0,0
D0294,14-01-2015,2015,M&A,GSK,Celrep AB,2.561,M&A 2015,0,0
D0278,15-01-2015,2015,M&A,Gilead,Zeotav ON,10.014,M&A 2015,1,0
D0289,20-01-2015,2015,Series_C,OrbiMed,Yottav OS,0.212,Series_C 2015,0,0
D0309,20-01-2015,2015,IPO,Public markets,Yotimm OS,0.258,IPO 2015,0,0
D0335,22-01-2015,2015,VC,GV (Google Ventures),Celgen BIO,0.281,VC 2015,0,0
D0310,16-02-2015,2015,VC,Versant Ventures,Modpro GX,0.435,VC 2015,0,0
D0322,22-02-2015,2015,Series_B,OrbiMed,Zeoonc IO,0.204,Series_B 2015,0,0
D0315,26-02-2015,2015,Crossover,RA Capital,Yotonc X,0.064,Crossover 2015,0,0
D0319,06-03-2015,2015,Series_B,OrbiMed,Rephap IO,0.032,Series_B 2015,0,0
D0328,07-03-2015,2015,M&A,Novartis,Haplum IO,1.033,M&A 2015,0,0
D0274,07-03-2015,2015,IPO,Public markets,Unilum IO,0.317,IPO 2015,0,0
D0304,18-03-2015,2015,M&A,Eli Lilly,Yotsyn Therapeutics,50,M&A 2015,1,0
D0300,23-03-2015,2015,M&A,BMS,Celonc RX,1.657,M&A 2015,0,0
D0292,24-03-2015,2015,VC,F-Prime Capital,Synbio RX,0.025,VC 2015,0,0
D0338,26-03-2015,2015,IPO,Public markets,Modepi IO,0.407,IPO 2015,0,0
D0004,30-03-2015,2015,M&A,Teva,Allergan Generics,40.5,Generics consolidation,1,1
D0324,09-04-2015,2015,VC,RA Capital,Prouni BIO,0.073,VC 2015,0,0
D0302,11-04-2015,2015,VC,GV (Google Ventures),Vecden AB,0.32,VC 2015,0,0
D0340,12-04-2015,2015,VC,GV (Google Ventures),Zeopro Tx,0.043,VC 2015,0,0
D0277,13-04-2015,2015,VC,Sofinnova Investments,Lumden Tx,0.376,VC 2015,0,0
D0295,18-04-2015,2015,Crossover,Flagship Pioneering,Vecyot GX,0.557,Crossover 2015,0,0
D0327,18-04-2015,2015,Series_C,Third Rock Ventures,Tavjas BIO,0.054,Series_C 2015,0,0
D0285,21-04-2015,2015,VC,Sofinnova Investments,Celimm RX,0.79,VC 2015,0,0
D0316,27-04-2015,2015,Series_B,Versant Ventures,Prouni BIO,0.669,Series_B 2015,0,0
D0323,02-05-2015,2015,Series_B,Bain Capital Life Sciences,Epigen X,0.036,Series_B 2015,0,0
D0284,06-05-2015,2015,Series_C,F-Prime Capital,Zeocel Therapeutics,0.247,Series_C 2015,0,0
D0279,20-05-2015,2015,Crossover,F-Prime Capital,Modsyn GX,0.045,Crossover 2015,0,0
D0275,22-05-2015,2015,IPO,Public markets,Oncrep ON,0.405,IPO 2015,0,0
D0308,25-05-2015,2015,Series_C,Bain Capital Life Sciences,Vecneu X,0.072,Series_C 2015,0,0
D0293,25-05-2015,2015,IPO,Public markets,Unicel ON,0.157,IPO 2015,0,0
D0283,01-06-2015,2015,Series_C,Sofinnova Investments,Neuepi GX,0.19,Series_C 2015,0,0
D0299,02-06-2015,2015,IPO,Public markets,Xenxen Therapeutics,0.283,IPO 2015,0,0
D0276,02-06-2015,2015,Series_B,OrbiMed,Vecepi BIO,0.027,Series_B 2015,0,0
